Rk,Team,W,L,PW,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.D,TOV%.D,DRB%,FT/FGA.D,Year
16,Charlotte Bobcats,43,39,40,-0.89,103.6,103.8,-0.2,92.4,0.297,0.219,0.522,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183,2014
17,Atlanta Hawks,38,44,40,-0.88,105.9,106.4,-0.5,94.6,0.266,0.316,0.554,0.515,14.3,21,0.208,0.51,14,74.4,0.196,2014
18,New York Knicks,37,45,39,-1.4,108.3,109.1,-0.8,90.3,0.248,0.302,0.541,0.505,12.5,25.1,0.189,0.514,14,74.3,0.245,2014
19,Brooklyn Nets,44,38,38,-1.58,106.7,107.7,-1,91.4,0.313,0.301,0.555,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236,2014
20,Denver Nuggets,36,46,35,-1.4,106,108.2,-2.2,98.1,0.306,0.278,0.536,0.497,14,27.5,0.222,0.5,12.8,74.5,0.233,2014
21,New Orleans Pelicans,34,48,33,-1.98,107.2,110.1,-2.9,92.2,0.286,0.193,0.537,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249,2014
22,Sacramento Kings,28,54,33,-2.08,105.7,108.8,-3.1,94.4,0.331,0.218,0.532,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234,2014
23,Cleveland Cavaliers,33,49,32,-3.86,104.2,107.7,-3.5,93.1,0.268,0.236,0.518,0.479,13,27.2,0.201,0.508,13,75.8,0.199,2014
24,Detroit Pistons,29,53,31,-4.13,105.9,109.7,-3.8,94.9,0.296,0.222,0.514,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218,2014
25,Boston Celtics,25,57,28,-4.97,102.9,107.7,-4.8,93.3,0.248,0.251,0.517,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227,2014
26,Orlando Magic,23,59,26,-5.88,101.7,107.4,-5.7,93.6,0.253,0.235,0.525,0.487,13.9,22.4,0.193,0.504,13,75.5,0.211,2014
27,Los Angeles Lakers,27,55,25,-5.33,104.2,110.6,-6.4,98.7,0.263,0.291,0.542,0.505,13.7,20.2,0.199,0.513,12.4,71,0.192,2014
29,Milwaukee Bucks,15,67,20,-8.41,103,111.8,-8.8,91.8,0.274,0.231,0.519,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225,2014
1,Golden State Warriors,67,15,65,10.01,111.6,101.4,10.2,98.3,0.239,0.311,0.571,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.217,2015
2,Los Angeles Clippers,56,26,58,6.8,112.4,105.5,6.9,94.7,0.303,0.322,0.565,0.533,11.6,22.8,0.215,0.493,13.2,75.7,0.231,2015
3,San Antonio Spurs,55,27,58,6.34,108.5,102,6.5,93.8,0.256,0.269,0.555,0.517,13.1,23.4,0.2,0.484,13.3,77.3,0.19,2015
4,Atlanta Hawks,60,22,56,4.75,108.9,103.1,5.8,93.9,0.259,0.321,0.563,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.185,2015
5,Cleveland Cavaliers,53,29,53,4.08,111.1,106.3,4.8,92.3,0.287,0.334,0.557,0.52,13.4,26.8,0.216,0.502,12.6,74.7,0.177,2015
6,Portland Trail Blazers,51,31,53,4.41,108.2,103.7,4.5,94.2,0.225,0.316,0.544,0.508,12.6,24.2,0.18,0.476,11.3,76.2,0.182,2015
7,Houston Rockets,56,26,50,3.82,107,103.4,3.6,96.5,0.312,0.392,0.548,0.512,15,26.8,0.223,0.486,14.6,72.9,0.208,2015
8,Memphis Grizzlies,55,27,50,3.62,105.7,102.2,3.5,92,0.276,0.184,0.531,0.489,12.6,24.7,0.214,0.492,14.5,75.3,0.183,2015
9,Toronto Raptors,49,33,49,2.45,111,107.7,3.3,92.8,0.295,0.302,0.553,0.508,12,25.6,0.232,0.506,13.4,73.3,0.208,2015
10,Chicago Bulls,50,32,50,2.54,107.5,104.3,3.2,92.8,0.304,0.269,0.536,0.489,12.9,27,0.238,0.473,11.3,74.4,0.182,2015
11,Dallas Mavericks,50,32,49,3.36,109.5,106.4,3.1,95.2,0.262,0.296,0.55,0.515,11.9,23.6,0.197,0.503,14.7,72.2,0.204,2015
12,Oklahoma City Thunder,45,37,47,2.47,107.8,105.5,2.3,95.7,0.284,0.262,0.532,0.492,13.1,28.9,0.214,0.489,12.4,75.6,0.213,2015
13,New Orleans Pelicans,45,37,43,1.13,108.2,107.3,0.9,91.4,0.263,0.233,0.537,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195,2015
14,Washington Wizards,46,36,43,0.17,103.7,103,0.7,93.7,0.259,0.203,0.534,0.499,14,24.9,0.192,0.481,12.9,77.3,0.21,2015
15,Milwaukee Bucks,41,41,42,-0.09,102.7,102.2,0.5,94.1,0.258,0.223,0.536,0.499,15.5,25.4,0.195,0.487,15.9,73.3,0.221,2015
16,Indiana Pacers,38,44,42,-0.23,103.5,103.2,0.3,93.2,0.266,0.255,0.523,0.484,13.1,24,0.201,0.478,12,77.9,0.217,2015
17,Utah Jazz,38,44,42,0.71,105.1,104.9,0.2,90.4,0.297,0.274,0.531,0.494,14.6,29.1,0.214,0.491,12.8,76.3,0.199,2015
18,Boston Celtics,40,42,41,-0.4,104.7,104.5,0.2,95.8,0.233,0.28,0.523,0.489,12.5,24.7,0.176,0.494,13.7,75,0.208,2015
19,Phoenix Suns,39,43,38,-0.38,105.3,106.2,-0.9,96.3,0.251,0.291,0.537,0.501,13.7,24.5,0.191,0.497,14,73.5,0.221,2015
20,Detroit Pistons,32,50,38,-1.39,105.3,106.4,-1.1,92.8,0.261,0.29,0.515,0.482,12.3,27.7,0.184,0.502,13.2,75,0.192,2015
21,Miami Heat,37,45,33,-2.92,103.9,106.7,-2.8,90.9,0.306,0.262,0.54,0.5,14.5,23.2,0.227,0.505,14.2,73.4,0.213,2015
22,Brooklyn Nets,38,44,33,-3.13,104.4,107.4,-3,92.7,0.267,0.24,0.529,0.491,13,23.9,0.2,0.506,12.9,73.7,0.185,2015
23,Charlotte Hornets,33,49,32,-3.44,100.1,103.5,-3.4,93,0.269,0.226,0.498,0.456,11.2,22.1,0.202,0.487,12,79.3,0.188,2015
24,Denver Nuggets,30,52,31,-3.07,104.5,108.2,-3.7,96.1,0.278,0.284,0.518,0.479,12.7,26.6,0.204,0.504,13,74.7,0.239,2015
25,Sacramento Kings,29,53,31,-3.07,105.3,109.2,-3.9,95.4,0.363,0.204,0.542,0.49,14.8,26.5,0.276,0.507,11.8,75.2,0.2,2015
26,Orlando Magic,25,57,25,-5.87,101.6,107.7,-6.1,93.8,0.23,0.235,0.524,0.494,14,23.1,0.168,0.514,13.6,76,0.21,2015
27,Los Angeles Lakers,21,61,23,-6.17,103.4,110.6,-7.2,94,0.276,0.22,0.513,0.473,12.1,25.4,0.204,0.518,12.1,76.3,0.231,2015
29,Philadelphia 76ers,18,64,18,-9.04,95.5,104.8,-9.3,95.7,0.288,0.319,0.494,0.459,16,25.5,0.195,0.497,15.2,73,0.225,2015
1,San Antonio Spurs,67,15,67,10.28,110.3,99,11.3,93.8,0.246,0.223,0.564,0.526,12.4,23,0.197,0.477,14.1,79.1,0.182,2016
2,Golden State Warriors,73,9,65,10.38,114.5,103.8,10.7,99.3,0.25,0.362,0.593,0.563,13.5,23.5,0.191,0.479,12.6,76,0.208,2016
3,Oklahoma City Thunder,55,27,59,7.09,113.1,105.6,7.5,96.7,0.292,0.275,0.565,0.524,14,31.1,0.228,0.484,11.7,76,0.205,2016
4,Cleveland Cavaliers,57,25,57,5.45,110.9,104.5,6.4,93.3,0.259,0.352,0.558,0.524,12.7,25.1,0.194,0.496,12.6,78.5,0.205,2016
5,Toronto Raptors,56,26,53,4.08,110,105.2,4.8,92.9,0.328,0.287,0.552,0.504,12.3,24.6,0.255,0.498,12.7,77.7,0.201,2016
6,Los Angeles Clippers,53,29,53,4.13,108.3,103.8,4.5,95.8,0.318,0.324,0.556,0.524,12.1,20.1,0.22,0.48,13.8,73.8,0.222,2016
7,Atlanta Hawks,48,34,51,3.49,105.1,101.4,3.7,97.1,0.237,0.336,0.552,0.516,13.8,19.1,0.185,0.48,14.4,74.6,0.194,2016
8,Boston Celtics,48,34,50,2.84,106.8,103.6,3.2,98.5,0.264,0.293,0.531,0.488,12.1,25.1,0.208,0.487,14.6,74.6,0.231,2016
9,Charlotte Hornets,48,34,49,2.36,107.1,104.3,2.8,95.7,0.28,0.348,0.545,0.502,11.7,20,0.222,0.496,12.5,79.8,0.191,2016
10,Utah Jazz,40,42,46,1.84,105.9,103.9,2,91,0.286,0.297,0.54,0.501,14.2,25.9,0.213,0.495,13.5,77.7,0.21,2016
11,Miami Heat,48,34,46,1.5,106.1,104.4,1.7,93.6,0.282,0.221,0.545,0.508,13.3,23.8,0.21,0.485,12.1,77.8,0.196,2016
12,Indiana Pacers,45,37,46,1.62,104.6,102.9,1.7,96.6,0.268,0.27,0.536,0.497,13.5,23.4,0.205,0.489,14.3,76,0.205,2016
13,Portland Trail Blazers,44,38,43,0.98,108.8,108,0.8,96,0.268,0.332,0.548,0.511,13.2,25.9,0.202,0.503,12.1,76.2,0.225,2016
14,Detroit Pistons,44,38,43,0.43,106.1,105.5,0.6,95.1,0.296,0.303,0.522,0.491,12.2,27,0.197,0.504,12.5,79.3,0.196,2016
15,Houston Rockets,41,41,42,0.34,108.3,108.1,0.2,97.6,0.352,0.37,0.553,0.516,14.2,25.7,0.244,0.516,14.7,72.8,0.219,2016
16,Dallas Mavericks,42,40,40,-0.02,106.7,107,-0.3,94.3,0.265,0.339,0.544,0.502,12,20.6,0.211,0.504,12.8,76.2,0.198,2016
17,Washington Wizards,41,41,40,-0.5,105.3,105.8,-0.5,98.5,0.263,0.282,0.544,0.511,13.1,20.6,0.192,0.515,14.6,77.7,0.218,2016
18,Chicago Bulls,42,40,37,-1.46,105,106.5,-1.5,95.7,0.24,0.244,0.526,0.487,12.6,24.5,0.189,0.485,10.7,74.9,0.182,2016
19,Orlando Magic,35,47,36,-1.68,105.1,106.8,-1.7,96,0.232,0.255,0.533,0.5,12.8,23.1,0.175,0.513,13.8,76.5,0.215,2016
20,Sacramento Kings,33,49,34,-2.32,106,108.4,-2.4,100,0.295,0.26,0.546,0.51,14.2,23.9,0.214,0.521,14,74.9,0.202,2016
21,Memphis Grizzlies,42,40,35,-2.14,105.4,107.8,-2.4,93.3,0.295,0.222,0.524,0.477,12.3,25.3,0.231,0.518,15.2,75.1,0.251,2016
22,New York Knicks,32,50,33,-2.74,104.6,107.6,-3,93.4,0.255,0.256,0.527,0.483,12.6,23.7,0.205,0.487,10.5,75.8,0.204,2016
23,Denver Nuggets,33,49,33,-2.81,105.6,108.9,-3.3,95.7,0.282,0.277,0.531,0.489,13.2,25.8,0.216,0.515,12.6,77.3,0.216,2016
24,Minnesota Timberwolves,29,53,31,-3.38,106.5,110.1,-3.6,95.2,0.332,0.202,0.549,0.498,13.9,24.3,0.263,0.524,13.6,74.7,0.2,2016
25,New Orleans Pelicans,30,52,31,-3.56,105.6,109.5,-3.9,96.8,0.259,0.277,0.537,0.498,12.3,21.2,0.201,0.523,12.7,78.8,0.225,2016
26,Milwaukee Bucks,33,49,29,-3.98,104.3,108.7,-4.4,94.2,0.276,0.189,0.537,0.499,14.2,24.9,0.207,0.51,14.2,73.1,0.221,2016
27,Phoenix Suns,23,59,24,-6.32,102.2,109,-6.8,98.5,0.271,0.302,0.526,0.487,15.2,25.4,0.204,0.523,13.5,77.1,0.237,2016
29,Los Angeles Lakers,17,65,17,-8.92,101.6,111.6,-10,95.6,0.292,0.29,0.509,0.46,12.5,23.1,0.228,0.523,11.6,74.7,0.202,2016
1,Golden State Warriors,67,15,67,11.35,115.6,104,11.6,99.8,0.259,0.359,0.597,0.563,13.2,22.8,0.204,0.486,13.5,74.9,0.198,2017
2,San Antonio Spurs,61,21,60,7.13,111.1,103.5,7.6,94.2,0.263,0.281,0.564,0.524,12.6,24,0.21,0.492,13.5,77.6,0.192,2017
3,Houston Rockets,55,27,55,5.84,114.7,109,5.7,100,0.304,0.462,0.583,0.545,13.3,24.6,0.233,0.519,13.2,75.8,0.194,2017
4,Toronto Raptors,51,31,52,3.65,112.3,107.8,4.5,94.7,0.293,0.289,0.561,0.517,11.8,25,0.233,0.507,13.5,76.3,0.223,2017
5,Los Angeles Clippers,51,31,52,4.42,112.7,108.2,4.5,96.1,0.312,0.329,0.574,0.537,12,21.5,0.233,0.506,12.1,76.9,0.211,2017
6,Utah Jazz,51,31,52,4,109.6,105.3,4.3,91.6,0.288,0.327,0.563,0.526,13.2,23.2,0.215,0.493,11.8,78.9,0.195,2017
7,Cleveland Cavaliers,51,31,49,2.87,113.6,110.3,3.3,96.2,0.275,0.399,0.58,0.547,12.6,21.9,0.206,0.516,11.4,75.8,0.174,2017
8,Boston Celtics,53,29,48,2.25,111.2,108.4,2.8,96.8,0.273,0.393,0.567,0.525,12.2,21.2,0.22,0.503,12.6,75.3,0.223,2017
9,Washington Wizards,49,33,46,1.36,111.2,109.3,1.9,97.4,0.254,0.284,0.564,0.528,12.8,24.1,0.199,0.524,13.8,75.5,0.213,2017
10,Miami Heat,41,41,44,0.77,107.8,106.7,1.1,95.2,0.251,0.314,0.541,0.512,12.4,24.2,0.177,0.496,12.6,76.4,0.22,2017
11,Oklahoma City Thunder,47,35,43,1.14,108.3,107.5,0.8,97.8,0.295,0.295,0.54,0.5,13.2,27.9,0.22,0.511,12.5,79,0.218,2017
12,Memphis Grizzlies,43,39,42,0.96,107.7,107.1,0.6,92.3,0.28,0.316,0.535,0.491,12.1,24.8,0.219,0.506,13.6,77.5,0.256,2017
13,Denver Nuggets,40,42,42,0.7,113.2,112.7,0.5,98.3,0.276,0.329,0.568,0.53,13.2,27.3,0.214,0.532,10.9,78.7,0.194,2017
14,Chicago Bulls,41,41,42,0.03,107.4,107,0.4,95.3,0.259,0.256,0.53,0.487,12.3,27,0.206,0.507,12.4,76.8,0.169,2017
15,Charlotte Hornets,36,46,42,-0.07,108.8,108.6,0.2,95.7,0.279,0.335,0.547,0.501,10.7,19.9,0.227,0.523,12.1,79.6,0.164,2017
16,Indiana Pacers,42,40,40,-0.64,108.6,108.8,-0.2,95.9,0.261,0.272,0.558,0.516,12.8,21.2,0.212,0.512,13.6,75.5,0.225,2017
17,Milwaukee Bucks,42,40,40,-0.45,109.1,109.3,-0.2,94.5,0.274,0.29,0.565,0.527,13.2,21.5,0.21,0.518,13.6,75.4,0.215,2017
18,Portland Trail Blazers,41,41,40,-0.23,110.3,110.8,-0.5,96.7,0.275,0.322,0.559,0.52,12.5,23,0.214,0.508,11.6,76.8,0.241,2017
19,Atlanta Hawks,43,39,39,-1.23,104.9,105.7,-0.8,97.4,0.295,0.309,0.541,0.504,14.2,23.6,0.215,0.507,13.8,76.1,0.179,2017
20,Detroit Pistons,37,45,38,-1.29,106,107.1,-1.1,95,0.218,0.263,0.521,0.492,10.9,24.1,0.157,0.516,12.1,81.2,0.197,2017
21,Minnesota Timberwolves,31,51,38,-0.64,110.8,112,-1.2,94.6,0.287,0.249,0.555,0.511,12.9,27.2,0.229,0.535,13.2,75.9,0.212,2017
22,New Orleans Pelicans,34,48,35,-1.69,105.2,107.4,-2.2,98,0.256,0.308,0.539,0.504,11.7,18.5,0.192,0.509,12.4,76.8,0.177,2017
23,Dallas Mavericks,33,49,33,-2.53,105.6,108.8,-3.2,92.2,0.225,0.366,0.541,0.505,11.6,18.1,0.18,0.529,14.4,77.6,0.218,2017
24,New York Knicks,31,51,31,-3.87,107.7,111.5,-3.8,96,0.239,0.279,0.534,0.496,12.4,26.6,0.188,0.511,11.7,74.1,0.214,2017
25,Sacramento Kings,32,50,31,-3.29,107.3,111.3,-4,94.9,0.284,0.291,0.556,0.516,13.7,21,0.22,0.528,12.9,76.3,0.227,2017
26,Phoenix Suns,24,58,27,-5.14,106.6,112.2,-5.6,100.3,0.297,0.255,0.538,0.493,13.4,26,0.231,0.525,13.1,76.4,0.264,2017
27,Philadelphia 76ers,28,54,26,-5.83,103.2,108.9,-5.7,98.5,0.258,0.349,0.539,0.501,14.9,22.4,0.199,0.512,13.5,75.3,0.234,2017
29,Orlando Magic,29,53,24,-6.61,103.7,110.5,-6.8,96.8,0.246,0.3,0.524,0.489,12.1,21.6,0.184,0.523,11.9,77.4,0.201,2017
1,Houston Rockets,65,17,61,8.21,114.7,106.1,8.6,97.6,0.298,0.502,0.59,0.551,12.7,21.3,0.233,0.521,13.4,79.9,0.171,2018
2,Toronto Raptors,59,23,60,7.29,113.8,105.9,7.9,97.4,0.25,0.377,0.575,0.539,12.1,23,0.198,0.501,13,77.7,0.212,2018
3,Golden State Warriors,58,24,56,5.79,113.6,107.6,6,99.6,0.239,0.339,0.603,0.569,14.1,21,0.195,0.504,12.6,76.3,0.186,2018
4,Utah Jazz,48,34,53,4.47,108.4,103.9,4.5,95.7,0.26,0.357,0.564,0.527,13.7,21.5,0.202,0.506,14,79.8,0.19,2018
5,Philadelphia 76ers,52,30,53,4.3,109.5,105,4.5,99.8,0.263,0.344,0.568,0.535,14.6,25.3,0.198,0.492,12.6,78.6,0.218,2018
6,Boston Celtics,55,27,51,3.23,107.6,103.9,3.7,96,0.243,0.357,0.552,0.518,13,21.5,0.188,0.495,13,78.4,0.191,2018
7,Oklahoma City Thunder,48,34,50,3.42,110.7,107.2,3.5,96.7,0.275,0.345,0.546,0.514,12.4,27.7,0.197,0.525,14.7,77.4,0.193,2018
8,San Antonio Spurs,47,35,49,2.89,107.9,104.8,3.1,95,0.245,0.282,0.543,0.507,12.2,23.7,0.189,0.507,13.2,78.6,0.17,2018
9,Portland Trail Blazers,49,33,48,2.6,109.1,106.4,2.7,96.5,0.24,0.324,0.549,0.511,12.3,23.3,0.192,0.503,11.7,79.1,0.193,2018
10,Minnesota Timberwolves,47,35,47,2.35,113.4,111.1,2.3,96,0.28,0.261,0.566,0.523,11.4,24.4,0.225,0.539,13.9,76.4,0.189,2018
11,Denver Nuggets,46,36,45,1.57,112.5,111,1.5,96.8,0.258,0.357,0.57,0.536,13.4,25.7,0.198,0.539,12.6,77.5,0.173,2018
12,Indiana Pacers,48,34,45,1.18,109.5,108.1,1.4,96,0.222,0.284,0.557,0.525,12.3,22.7,0.173,0.527,14.2,76.2,0.174,2018
13,New Orleans Pelicans,48,34,44,1.48,109.6,108.3,1.3,100.5,0.237,0.319,0.573,0.541,13.3,20,0.183,0.513,12.5,76.7,0.175,2018
14,Cleveland Cavaliers,50,32,43,0.59,112.9,111.9,1,98,0.275,0.379,0.584,0.547,12.6,20.1,0.214,0.54,12.2,77.3,0.166,2018
15,Washington Wizards,43,39,43,0.53,109.3,108.7,0.6,96.6,0.254,0.31,0.56,0.525,13.3,23.5,0.196,0.522,13.6,77.1,0.212,2018
16,Miami Heat,44,38,42,0.15,106.8,106.3,0.5,95.6,0.229,0.358,0.551,0.52,13.3,21.5,0.173,0.507,13.1,79,0.215,2018
17,Charlotte Hornets,36,46,42,0.07,109.4,109.1,0.3,98.4,0.312,0.314,0.549,0.508,11.4,22.2,0.233,0.532,12.4,80.7,0.165,2018
18,Los Angeles Clippers,42,40,41,0.15,110.3,110.2,0.1,98.7,0.299,0.314,0.564,0.527,13.2,23.5,0.222,0.52,12.6,76.1,0.203,2018
19,Detroit Pistons,39,43,41,-0.26,107.2,107.3,-0.1,96.2,0.227,0.333,0.543,0.512,12.3,22.7,0.169,0.524,13.7,78.5,0.172,2018
20,Milwaukee Bucks,44,38,40,-0.45,109.8,110.1,-0.3,96.2,0.281,0.297,0.571,0.531,12.9,20.4,0.22,0.528,14.2,75.9,0.22,2018
21,Los Angeles Lakers,35,47,37,-1.44,106.5,108,-1.5,100.3,0.264,0.329,0.548,0.517,13.8,23.6,0.188,0.514,12.5,77.7,0.19,2018
22,Dallas Mavericks,24,58,33,-2.7,106.3,109.5,-3.2,95.6,0.217,0.382,0.544,0.513,11.6,18,0.166,0.532,12.9,78.9,0.193,2018
23,New York Knicks,29,53,32,-3.53,107.1,110.7,-3.6,96.8,0.216,0.266,0.544,0.51,13.3,24.1,0.17,0.522,12.2,76.7,0.208,2018
24,Brooklyn Nets,28,54,31,-3.67,106.9,110.6,-3.7,98.9,0.26,0.411,0.551,0.514,13.6,21,0.201,0.517,11,77,0.201,2018
25,Orlando Magic,25,57,28,-4.92,105.2,110.1,-4.9,98.1,0.238,0.342,0.545,0.512,13.3,20,0.18,0.525,12.8,75.6,0.187,2018
26,Atlanta Hawks,24,58,27,-5.3,105,110.6,-5.6,98.3,0.236,0.363,0.547,0.512,14.1,21.1,0.185,0.536,13.6,76.2,0.183,2018
27,Memphis Grizzlies,22,60,25,-5.81,104.5,111,-6.5,94.9,0.255,0.317,0.539,0.5,14,22.4,0.201,0.529,13.8,76.5,0.256,2018
29,Sacramento Kings,27,55,23,-6.6,103.7,111.1,-7.4,94.9,0.194,0.278,0.529,0.502,12.8,21.5,0.143,0.542,13.5,77.6,0.199,2018
1,Milwaukee Bucks,60,22,61,8.04,113.8,105.2,8.6,103.3,0.255,0.419,0.583,0.55,12,20.8,0.197,0.503,11.5,80.3,0.162,2019
2,Golden State Warriors,57,25,56,6.42,115.9,109.5,6.4,100.9,0.227,0.384,0.596,0.565,12.6,22.5,0.182,0.508,11.7,77.1,0.205,2019
3,Toronto Raptors,58,24,56,5.49,113.1,107.1,6,100.2,0.247,0.379,0.579,0.543,12.4,21.9,0.198,0.509,13.1,77.1,0.19,2019
4,Utah Jazz,50,32,54,5.28,110.9,105.7,5.2,100.3,0.295,0.394,0.572,0.538,13.4,22.9,0.217,0.507,12.4,80.3,0.189,2019
5,Houston Rockets,53,29,53,4.96,115.5,110.7,4.8,97.9,0.279,0.519,0.581,0.542,12,22.8,0.221,0.525,13.4,74.4,0.21,2019
6,Boston Celtics,49,33,52,3.9,112.2,107.8,4.4,99.6,0.215,0.381,0.567,0.534,11.5,21.6,0.173,0.514,13.4,77,0.198,2019
7,Portland Trail Blazers,53,29,51,4.43,114.7,110.5,4.2,99.1,0.258,0.339,0.568,0.528,12.1,26.6,0.21,0.516,11,77.9,0.195,2019
8,Denver Nuggets,54,28,51,4.19,113,108.9,4.1,97.7,0.232,0.348,0.558,0.527,11.9,26.6,0.175,0.521,12.3,78,0.194,2019
9,Indiana Pacers,48,34,50,2.76,109.9,106.5,3.4,98.1,0.242,0.292,0.561,0.53,12.4,21.9,0.182,0.516,14.1,76.2,0.184,2019
10,Oklahoma City Thunder,49,33,50,3.56,110.3,107,3.3,102.8,0.266,0.347,0.545,0.514,11.7,26,0.19,0.523,14.4,78.2,0.206,2019
11,Philadelphia 76ers,51,31,48,2.25,112.6,110,2.6,101.6,0.312,0.342,0.574,0.532,12.9,24.5,0.241,0.512,11.1,78.6,0.206,2019
12,San Antonio Spurs,48,34,45,1.8,112.9,111.2,1.7,98.3,0.237,0.286,0.572,0.534,11,21,0.194,0.528,11,79.4,0.17,2019
13,Los Angeles Clippers,48,34,43,1.09,112.4,111.5,0.9,101.7,0.326,0.295,0.575,0.529,12.7,22,0.258,0.514,11.4,76,0.224,2019
14,Orlando Magic,42,40,43,0.28,108.9,108.1,0.8,98.1,0.216,0.36,0.55,0.518,11.9,22,0.168,0.515,11.8,79.7,0.186,2019
15,Brooklyn Nets,42,40,41,-0.4,109.6,109.7,-0.1,100.8,0.284,0.403,0.556,0.52,13,23.8,0.211,0.512,11.6,76.4,0.19,2019
16,Detroit Pistons,41,41,40,-0.56,109,109.2,-0.2,97.4,0.262,0.394,0.544,0.509,12.3,24.8,0.195,0.526,12.8,78.7,0.211,2019
17,Miami Heat,39,43,40,-0.45,107.3,107.6,-0.3,98.2,0.247,0.368,0.542,0.515,13.1,24.8,0.172,0.51,12.7,77.6,0.201,2019
18,Sacramento Kings,39,43,38,-0.81,110.4,111.5,-1.1,103.1,0.244,0.321,0.554,0.524,11.5,23.1,0.177,0.533,13.6,75.5,0.207,2019
19,Charlotte Hornets,39,43,38,-1.32,111.4,112.5,-1.1,98.7,0.257,0.378,0.554,0.514,10.9,21.7,0.205,0.538,12.1,77.1,0.179,2019
20,New Orleans Pelicans,33,49,38,-1.1,111.4,112.6,-1.2,103.3,0.254,0.324,0.563,0.529,12.6,24.1,0.193,0.532,11.6,76.8,0.193,2019
21,Dallas Mavericks,33,49,38,-0.87,109.4,110.7,-1.3,99,0.291,0.422,0.555,0.519,12.7,22.7,0.216,0.522,11.6,77.5,0.191,2019
22,Minnesota Timberwolves,36,46,37,-1.02,111.4,112.9,-1.5,100.2,0.267,0.315,0.552,0.511,11.4,24.6,0.21,0.538,12.9,74.9,0.19,2019
23,Los Angeles Lakers,37,45,37,-1.33,107.8,109.5,-1.7,103.2,0.257,0.342,0.554,0.527,13.4,22.2,0.18,0.516,12.2,76.4,0.192,2019
24,Memphis Grizzlies,33,49,34,-2.08,106.1,108.8,-2.7,96.6,0.272,0.342,0.548,0.508,12.9,20,0.21,0.521,13.9,77.6,0.232,2019
25,Washington Wizards,32,50,34,-3.3,111.1,113.9,-2.8,101.4,0.266,0.37,0.567,0.531,12.3,21.3,0.204,0.546,13.5,74.1,0.199,2019
26,Atlanta Hawks,29,53,27,-6.06,108.1,113.9,-5.8,103.9,0.255,0.403,0.555,0.522,14.3,24.7,0.192,0.541,12.8,76.4,0.237,2019
27,Chicago Bulls,22,60,21,-8.32,104.8,113.2,-8.4,99,0.235,0.295,0.541,0.505,12.7,19.4,0.184,0.541,11.9,77.3,0.188,2019
29,Phoenix Suns,19,63,19,-8.61,105.9,115.1,-9.2,100.5,0.259,0.335,0.552,0.514,13.8,20.5,0.202,0.545,13.5,72.5,0.236,2019
1,Milwaukee Bucks,56,17,57,9.41,112.4,102.9,9.5,105.1,0.271,0.428,0.583,0.552,12.9,20.7,0.201,0.489,12,81.6,0.178,2020
2,Boston Celtics,48,24,50,5.83,113.3,107,6.3,99.5,0.259,0.386,0.57,0.531,12.2,23.9,0.207,0.509,13.5,77.4,0.215,2020
3,Los Angeles Clippers,49,23,50,6.66,113.9,107.6,6.3,101.5,0.295,0.375,0.577,0.535,12.6,23.5,0.233,0.506,12.2,77.6,0.206,2020
4,Toronto Raptors,53,19,50,5.97,111.1,105,6.1,100.9,0.264,0.421,0.574,0.536,13.1,21.3,0.21,0.502,14.6,76.7,0.202,2020
5,Los Angeles Lakers,52,19,48,6.28,112,106.3,5.7,100.9,0.276,0.358,0.573,0.542,13.3,24.5,0.201,0.515,14.1,78.8,0.205,2020
6,Dallas Mavericks,43,32,49,4.87,116.7,111.7,5,99.3,0.264,0.457,0.581,0.545,11.2,23.2,0.206,0.525,10.6,77.7,0.175,2020
7,Miami Heat,44,29,43,2.59,112.5,109.5,3,98.3,0.299,0.419,0.587,0.547,13.5,20.3,0.234,0.523,12.6,79.5,0.213,2020
8,Houston Rockets,44,28,42,3.13,112.9,110.1,2.8,103.7,0.288,0.501,0.578,0.537,12.6,21,0.228,0.529,13.7,75.6,0.197,2020
9,Utah Jazz,44,28,42,2.52,112.3,109.9,2.4,98.6,0.268,0.414,0.585,0.549,13.7,21.6,0.208,0.518,11.1,78.9,0.185,2020
10,Philadelphia 76ers,43,30,42,2.25,111.3,109,2.3,99,0.255,0.36,0.566,0.534,12.7,23.9,0.193,0.523,12.5,80.3,0.214,2020
11,Denver Nuggets,46,27,41,2.35,113.1,111,2.1,97.1,0.235,0.344,0.567,0.535,12.3,24.8,0.183,0.533,12.9,76.8,0.198,2020
12,Indiana Pacers,45,28,41,1.63,110,108,2,98.9,0.216,0.317,0.565,0.534,12,20,0.17,0.511,13,76.7,0.192,2020
